income_year,quintile,earned,govt_transfers,priv_transfers,ibt,taxes,iat,iat_pct_earned,tax_pct_ibt
1995,Middle,44630,4914,451,49995,18295,31700,71.0,28.97
1995,Fourth,69930,3434,238,73602,29480,44122,63.1,36.91
1995,Top,150235,3348,172,153755,72847,80908,53.9,46.15
1995,Average,58092,8760,483,67335,26532,40803,70.2,29.76
1996,Bottom,3252,22309,911,26472,2890,23582,725.2,-625.15
1996,Second,23510,10430,690,34630,9042,25588,108.8,-8.84
1996,Middle,46299,5311,468,52078,18488,33590,72.6,27.45
1996,Fourth,73063,3493,245,76801,30299,46502,63.6,36.35
1996,Top,163807,3582,176,167565,76588,90977,55.5,44.46
1996,Average,61986,9025,498,71509,27461,44048,71.1,28.94
1997,Bottom,3671,23102,948,27721,3099,24622,670.7,-570.72
1997,Second,24355,10360,709,35424,9429,25995,106.7,-6.73
1997,Middle,48442,5504,477,54423,19009,35414,73.1,26.89
1997,Fourth,76185,3999,249,80433,31077,49356,64.8,35.22
1997,Top,178230,3705,180,182115,81172,100943,56.6,43.36
1997,Average,66177,9334,513,76024,28757,47267,71.4,28.57
1998,Bottom,4091,23116,894,28101,3329,24772,605.5,-505.52
1998,Second,26224,10890,704,37818,9781,28037,106.9,-6.91
1998,Middle,51000,5570,472,57042,19542,37500,73.5,26.47
1998,Fourth,79970,3978,243,84191,32329,51862,64.9,35.15
1998,Top,190781,3826,171,194778,86859,107919,56.6,43.43
1998,Average,70413,9476,497,80386,30368,50018,71.0,28.96
1999,Bottom,4631,23399,963,28993,3510,25483,550.3,-450.27
1999,Second,27994,11159,758,39911,10240,29671,106.0,-5.99
1999,Middle,53938,6153,508,60599,20132,40467,75.0,24.97
1999,Fourth,84441,4051,261,88753,33516,55237,65.4,34.59
1999,Top,201773,3720,184,205677,93003,112674,55.8,44.16
1999,Average,74555,9696,535,84786,32080,52706,70.7,29.31
2000,Bottom,4556,24121,997,29674,3616,26058,571.9,-471.95
2000,Second,28681,11403,806,40890,10219,30671,106.9,-6.94
2000,Middle,55444,6630,540,62614,20211,42403,76.5,23.52
2000,Fourth,87202,4471,275,91948,33997,57951,66.5,33.54
2000,Top,220210,4278,191,224679,97865,126814,57.6,42.41
2000,Average,79219,10181,562,89962,33182,56780,71.7,28.33
2001,Bottom,3933,24825,1103,29861,3537,26324,669.3,-569.31
2001,Second,28216,12817,876,41909,9663,32246,114.3,-14.28
2001,Middle,55547,7579,584,63710,19300,44410,80.0,20.05
2001,Fourth,87690,4650,298,92638,32986,59652,68.0,31.97
2001,Top,202670,4058,209,206937,90508,116429,57.4,42.55
2001,Average,75611,10786,614,87011,31199,55812,73.8,26.19
2002,Bottom,3712,26314,1082,31108,3410,27698,746.2,-646.17
2002,Second,27471,14250,846,42567,8939,33628,122.4,-22.41
2002,Middle,54999,8505,564,64068,18518,45550,82.8,17.18
2002,Fourth,86986,5113,289,92388,31848,60540,69.6,30.4
2002,Top,195793,4252,203,200248,84910,115338,58.9,41.09
2002,Average,73792,11687,597,86076,29525,56551,76.6,23.36
2003,Bottom,3375,27166,1095,31636,3458,28178,834.9,-734.9
2003,Second,27412,14966,870,43248,8501,34747,126.8,-26.76
2003,Middle,55831,8927,580,65338,18011,47327,84.8,15.23
2003,Fourth,89617,5422,295,95334,30861,64473,71.9,28.06
2003,Top,204592,4517,206,209315,82243,127072,62.1,37.89
2003,Average,76165,12200,609,88974,28615,60359,79.2,20.75
2004,Bottom,3555,28377,1134,33066,3667,29399,827.0,-726.98
2004,Second,28499,15867,925,45291,9026,36265,127.3,-27.25
2004,Middle,57238,9341,611,67190,18670,48520,84.8,15.23
2004,Fourth,92275,5756,307,98338,32112,66226,71.8,28.23
2004,Top,221482,4732,211,226425,88134,138291,62.4,37.56
2004,Average,80610,12815,638,94063,30322,63741,79.1,20.93
2005,Bottom,3904,29567,1213,34684,3608,31076,796.0,-696.0
2005,Second,29389,16432,964,46785,9563,37222,126.7,-26.65
2005,Middle,59683,9653,626,69962,19090,50872,85.2,14.76
2005,Fourth,96057,6068,312,102437,32981,69456,72.3,27.69
2005,Top,241291,5478,215,246984,93517,153467,63.6,36.4
2005,Average,86065,13440,666,100171,31752,68419,79.5,20.5
2006,Bottom,4384,30596,1272,36252,4035,32217,734.9,-634.88
