income_year,quintile,fed_total,fed_pit,fed_payroll,fed_other,sl_total,sl_sales,sl_income,sl_property_other,total_taxes
1998,Middle,14108,4300,7900,1908,5434,2220,1204,2010,19542
1998,Fourth,24039,9300,12200,2539,8290,3106,2160,3025,32329
1998,Top,70786,46600,19100,5086,16073,5035,4712,6326,86859
1999,Bottom,1145,-1000,1300,845,2365,1179,6,1180,3510
1999,Second,6516,600,4500,1416,3724,1761,411,1552,10240
1999,Middle,14510,4400,8200,1910,5622,2344,1273,2004,20132
1999,Fourth,24683,9600,12500,2583,8833,3259,2367,3206,33516
1999,Top,76265,51200,19900,5165,16738,5340,4975,6423,93003
2000,Bottom,1130,-800,1200,730,2486,1271,3,1212,3616
2000,Second,6300,500,4500,1300,3919,1885,405,1629,10219
2000,Middle,14379,4400,8200,1779,5832,2456,1335,2042,20211
2000,Fourth,25060,9900,12700,2460,8937,3313,2449,3175,33997
2000,Top,80430,55000,20400,5030,17435,5355,5579,6501,97865
2001,Bottom,912,-1000,1200,712,2625,1332,3,1290,3537
2001,Second,5657,-100,4500,1257,4006,1873,403,1729,9663
2001,Middle,13297,3500,8100,1697,6003,2517,1377,2108,19300
2001,Fourth,23666,8600,12700,2366,9320,3439,2565,3317,32986
2001,Top,72296,46700,21000,4596,18212,5474,5996,6742,90508
2002,Bottom,800,-1000,1100,700,2610,1295,1,1315,3410
2002,Second,5041,-500,4300,1241,3898,1848,308,1743,8939
2002,Middle,12569,3100,7800,1669,5949,2517,1208,2224,18518
2002,Fourth,22622,8100,12300,2222,9226,3448,2301,3477,31848
2002,Top,67233,42300,20600,4333,17677,5441,5286,6950,84910
2003,Bottom,809,-900,1000,709,2649,1297,0,1351,3458
2003,Second,4476,-900,4200,1176,4025,1870,290,1865,8501
2003,Middle,11808,2300,7800,1708,6203,2549,1267,2387,18011
2003,Fourth,21579,7000,12300,2279,9282,3559,2172,3551,30861
2003,Top,63920,38700,20900,4320,18323,5791,5165,7367,82243
2004,Bottom,912,-900,1100,712,2755,1308,0,1447,3667
2004,Second,4704,-800,4300,1204,4322,2009,297,2016,9026
2004,Middle,12174,2500,7900,1774,6496,2711,1296,2489,18670
2004,Fourth,22295,7300,12600,2395,9817,3748,2308,3761,32112
2004,Top,68417,42600,21000,4817,19717,6156,5596,7965,88134
2005,Bottom,729,-1100,1100,729,2879,1377,0,1501,3608
2005,Second,4935,-800,4500,1235,4628,2100,354,2174,9563
2005,Middle,12277,2600,8000,1677,6813,2822,1370,2621,19090
2005,Fourth,22373,7400,12600,2373,10608,3930,2653,4024,32981
2005,Top,72364,46800,20900,4664,21153,6551,6202,8401,93517
2006,Bottom,833,-1100,1200,733,3202,1513,1,1689,4035
2006,Second,4992,-800,4600,1192,4893,2251,405,2236,9885
2006,Middle,12302,2700,8000,1602,7423,3079,1548,2795,19725
2006,Fourth,22554,7700,12700,2154,11335,4142,2876,4317,33889
2006,Top,74692,49100,21200,4392,22785,7005,6740,9040,97477
2007,Bottom,763,-1300,1400,663,3242,1544,1,1697,4005
2007,Second,5450,-500,4800,1150,5265,2373,453,2439,10715
2007,Middle,13115,3100,8400,1615,7837,3221,1673,2944,20952
2007,Fourth,23183,8100,12900,2183,12018,4351,3139,4529,35201
2007,Top,77938,51800,21600,4538,23932,7345,7151,9436,101870
2008,Bottom,-58,-2000,1300,642,3528,1688,0,1840,3470
2008,Second,3669,-2000,4600,1069,5392,2417,402,2573,9061
2008,Middle,10726,1200,8100,1426,7979,3241,1677,3061,18705
2008,Fourth,20849,6200,12700,1949,12485,4450,3263,4772,33334
2008,Top,71963,45700,22100,4163,24852,7384,7654,9814,96815
2009,Bottom,12,-1700,1100,612,3443,1623,0,1820,3455
2009,Second,2939,-2200,4100,1039,5347,2360,288,2699,8286
2009,Middle,10102,1100,7600,1402,7552,3098,1394,3060,17654
2009,Fourth,20241,5900,12400,1941,11942,4278,2879,4785,32183
2009,Top,65584,39600,22100,3884,24261,7099,6958,10204,89845
2010,Bottom,142,-1700,1100,742,3304,1581,0,1723,3446
2010,Second,3176,-2000,4100,1076,5308,2289,253,2766,8484
2010,Middle,10131,1300,7400,1431,7418,3107,1292,3019,17549
2010,Fourth,20352,6300,12100,1952,11621,4160,2706,4755,31973
2010,Top,67918,42400,21700,3818,23797,7012,6645,10139,91715
2011,Bottom,304,-1500,1000,804,3418,1684,0,1733,3722
2011,Second,3293,-1500,3600,1193,5428,2469,255,2704,8721
2011,Middle,10200,2200,6400,1600,7831,3273,1404,3154,18031
2011,Fourth,20152,7500,10500,2152,12003,4441,2834,4729,32155
2011,Top,67298,44300,19200,3798,24775,7274,7277,10224,92073
2012,Bottom,272,-1400,900,772,3433,1693,0,1740,3705
2012,Second,3178,-1500,3500,1178,5417,2499,277,2641,8595
2012,Middle,10326,2300,6400,1626,7883,3287,1491,3105,18209
2012,Fourth,20534,7600,10600,2334,12542,4586,3139,4818,33076
2012,Top,73173,49500,19400,4273,25382,7616,7660,10106,98555
2013,Bottom,365,-1500,1100,765,3492,1798,0,1694,3857
2013,Second,3913,-1400,4100,1213,5592,2615,329,2647,9505
2013,Middle,11617,2500,7500,1617,8225,3392,1661,3172,19842
2013,Fourth,22573,8000,12400,2173,12943,4720,3364,4860,35516
2013,Top,77278,50400,22700,4178,26735,7928,8442,10365,104013
2014,Bottom,363,-1500,1100,763,3625,1863,0,1762,3988
2014,Second,4034,-1500,4300,1234,5668,2616,317,2734,9702
2014,Middle,11846,2500,7700,1646,8440,3558,1717,3164,20286
2014,Fourth,23317,8300,12700,2317,12870,4730,3284,4856,36187
2014,Top,82364,55000,23000,4364,27152,8163,8435,10555,109516
2015,Bottom,134,-1700,1100,734,3719,1878,0,1841,3853
2015,Second,4308,-1400,4500,1208,5927,2698,358,2871,10235
2015,Middle,12401,2700,8000,1701,8484,3540,1799,3145,20885
2015,Fourth,24131,8800,13100,2231,13649,4921,3634,5093,37780
2015,Top,86095,57800,24000,4295,27959,8547,8834,10577,114054
2016,Bottom,236,-1600,1100,736,3812,1947,0,1865,4048
2016,Second,4409,-1300,4500,1209,6138,2853,370,2915,10547
2016,Middle,12610,2900,8100,1610,8828,3672,1855,3301,21438
2016,Fourth,24449,9000,13200,2249,13690,4999,3598,5093,38139
2016,Top,84793,56400,24100,4293,28735,8649,9012,11075,113528
2017,Bottom,149,-1700,1100,749,3901,1977,0,1924,4050
2017,Second,4506,-1200,4600,1106,6322,2977,383,2962,10828
2017,Middle,12788,3100,8200,1488,9271,3818,1978,3475,22059
2017,Fourth,25019,9400,13500,2119,13965,5136,3562,5268,38984
2017,Top,89710,60800,24800,4110,29346,8840,9140,11366,119056
2018,Bottom,45,-1900,1200,745,4084,2065,0,2019,4129
2018,Second,3976,-1800,4700,1076,6954,3146,259,3550,10930
2018,Middle,12034,2100,8400,1534,9503,4058,2004,3441,21537
2018,Fourth,23613,8100,13500,2013,14659,5403,4123,5133,38272
2018,Top,86607,57500,25000,4107,31489,9341,10313,11835,118096
2019,Bottom,158,-2000,1300,858,4474,2288,0,2185,4632
2019,Second,4725,-1500,5000,1225,7160,3219,334,3608,11885
2019,Middle,12889,2500,8700,1689,10057,4249,2148,3659,22946
2019,Fourth,24670,8500,14000,2170,15506,5658,4263,5586,40176
2019,Top,88512,58500,25900,4112,32905,9731,10694,12480,121417
2020,Bottom,-3596,-5200,1000,604,4546,2372,0,2174,950
2020,Second,-307,-5900,4500,1093,7084,3280,233,3571,6777
2020,Middle,7763,-2100,8300,1563,9882,4264,1918,3700,17645
2020,Fourth,20251,4200,14000,2051,15715,5904,4093,5718,35966
2020,Top,92845,61600,27100,4145,32541,9410,10181,12950,125386
2021,Bottom,-4412,-6000,1000,588,4637,2418,0,2219,225
2021,Second,-784,-6500,4700,1016,7431,3443,313,3674,6647
2021,Middle,7419,-2400,8500,1319,10625,4389,2500,3735,18044
2021,Fourth,20423,4700,14000,1723,16988,5914,5108,5966,37411
2021,Top,106106,75900,26600,3606,36652,10119,12837,13696,142758
2022,Bottom,217,-1700,1200,717,5094,2667,0,2427,5311
2022,Second,5228,-800,5000,1028,8239,3925,346,3968,13467
2022,Middle,13252,3100,8800,1352,11869,5064,2763,4043,25121
2022,Fourth,26172,10000,14400,1772,18684,6742,5617,6325,44856
2022,Top,100233,69800,26900,3533,39941,11566,14077,14298,140174
